obs,time,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Attention,Meditation,Blink,Derived,totPwr,class
1,2.5,71822,46189,34646,2531,6459,15841,12432,3273,0,0,32,0.42,193193,3
2,3.4,118229,5534,8839,418,1185,5750,2326,841,0,0,37,0.25,143122,3
3,4.5,812652,92464,9900,28276,12001,9721,17201,8672,0,0,45,0.1,990887,3
4,5.4,1229265,266210,84109,31848,77066,57338,18427,7689,40,30,0,0.22,1771952,3
5,6.4,130483,77437,6316,14417,12612,6580,2834,1672,30,16,0,0.16,252351,3
6,7.4,618734,154727,14971,8989,14149,21617,25447,8359,29,1,0,0.13,866993,3
7,8.5,937348,61207,15271,19788,19615,26733,8487,3093,40,1,0,0.12,1091542,3
8,8.6,250339,65588,14722,27892,6647,25450,10956,2769,47,11,40,0.19,404363,3
9,8.8,0,0,0,0,0,0,0,0,0,0,44,0.0,0,3
10,9.1,0,0,0,0,0,0,0,0,0,0,60,0.0,0,3
11,9.7,493282,240433,80655,11179,27796,5962,10563,3337,37,24,57,0.3,873207,3
12,10.9,174481,58027,4896,10151,12793,10173,3454,1299,43,34,67,0.13,275274,3
13,11.2,0,0,0,0,0,0,0,0,0,0,35,0.0,0,3
14,12.5,191266,42466,1722,1985,1840,2165,2209,656,24,14,34,0.08,244309,3
15,13.4,159645,72166,12769,7405,1626,2563,3038,997,4,10,37,0.22,260209,3
16,14.4,1659140,96964,21195,19750,32176,28156,20131,13108,30,10,0,0.11,1890620,3
17,15.4,180531,21078,12071,12418,6963,10486,6022,4864,37,34,0,0.22,254433,3
18,16.4,379357,25548,2327,4075,3009,3104,2145,769,44,47,39,0.07,420334,3
19,17.5,188430,34139,3933,7335,5579,6732,1873,678,63,47,0,0.13,248699,3
20,18.4,259015,165965,44687,24954,30293,23906,19898,4394,54,51,47,0.28,573112,2
21,19.5,2755954,112688,8049,37319,30557,25391,5869,7129,51,38,0,0.05,2982956,3
22,20.4,464024,224654,79233,35755,54899,31529,44588,6306,51,50,0,0.29,940988,0
23,21.4,58538,18554,4153,9895,5832,7104,1863,2108,54,57,0,0.2,108047,2
24,22.4,32400,8871,24130,10858,3845,6014,8044,1511,57,78,0,0.5,95673,2
25,23.4,648017,174414,70246,13437,16976,12928,4550,2820,44,80,0,0.27,943388,2
26,24.4,350093,94928,13643,6668,4637,8745,6029,2240,43,66,0,0.17,486983,2
27,25.4,91992,18499,3465,4009,32153,12757,4559,3181,51,44,0,0.14,170615,3
28,26.5,26226,60839,7169,2030,13953,9210,6764,5276,51,7,0,0.23,131467,3
29,27.4,9709,8225,940,12386,1892,5241,4847,2854,69,16,36,0.14,46094,3
30,28.4,214728,6403,7589,6939,2672,3800,846,313,78,41,0,0.18,243290,3
31,29.4,149256,99581,1209,14779,25891,11494,6829,3230,61,41,0,0.06,312269,3
32,30.4,39735,13581,1473,3518,1745,2438,1615,409,61,54,0,0.15,64514,2
33,31.4,14744,25204,14772,3819,6553,17995,3798,4329,66,43,36,0.4,91214,3
34,32.4,1423932,997797,157668,95166,49469,16976,12509,3425,41,21,35,0.24,2756942,3
35,33.4,345238,26916,9876,1847,4777,1050,1087,392,29,37,0,0.16,391183,3
36,34.4,59719,25343,1843,4926,1809,12214,15434,15571,41,29,43,0.12,136859,3
37,34.9,465145,135603,83501,24723,16632,31908,23285,5221,29,37,58,0.33,786018,3
38,35.1,0,0,0,0,0,0,0,0,0,0,49,0.0,0,3
39,36.4,182511,33390,6675,4889,1599,1436,675,196,38,40,45,0.17,231371,3
40,37.4,158207,85424,6682,6383,7206,2289,1727,606,35,27,0,0.16,268524,3
41,38.4,9842,5405,2777,1754,2477,18527,8399,1880,43,27,0,0.23,51061,3
42,39.4,204092,264948,26848,24053,15327,12017,16426,4574,27,11,0,0.22,568285,3
43,40.4,89342,27237,13561,14566,11830,13120,8247,2819,43,17,0,0.27,180722,3
44,41.4,1439321,394203,69828,34137,82553,24006,18426,8153,48,23,38,0.18,2070627,3
45,42.4,65826,3755,5750,7067,3371,2950,4232,1028,27,50,44,0.25,93979,1
46,43.4,202087,39020,3261,17087,6941,23246,21155,4415,48,54,0,0.1,317212,2
47,44.2,47559,28293,5087,6430,8044,13444,7216,1685,51,43,38,0.21,117758,3
48,44.4,0,0,0,0,0,0,0,0,0,0,43,0.0,0,3
49,45.4,62461,19163,4385,2647,506,845,416,351,50,50,35,0.22,90774,2
50,46.4,155526,2308,9229,3254,2168,6878,1205,743,57,48,0,0.23,181311,3
51,47.4,570311,56690,14369,36025,11319,22732,7079,2157,53,57,0,0.14,720682,2
52,48.4,667696,38563,21487,7270,4419,2543,3265,1853,34,70,0,0.17,747096,2
53,49.4,78514,44348,16702,15411,16251,11442,10550,4264,44,77,0,0.29,197482,2
54,50.4,35387,25228,5001,4534,10430,21988,4274,1813,48,51,52,0.21,108655,2
55,51.4,273978,23077,4563,8267,8877,7321,1783,715,48,43,50,0.12,328581,3
56,52.4,1600229,393438,29626,12353,16615,11234,7899,3374,44,20,0,0.12,2074768,3
57,53.4,69967,32844,23233,18390,10208,7128,4058,5639,40,27,0,0.37,171467,3
58,54.4,164228,43904,10841,8100,21617,8692,5863,3962,27,34,0,0.2,267207,3
59,55.5,268294,164237,6251,26554,15750,7031,5683,2299,11,26,0,0.11,496099,3
60,56.4,6406,17130,8208,39780,9910,11321,6359,1229,27,60,0,0.29,100343,2
61,57.5,18136,104710,4436,6134,7961,11266,4654,1976,29,27,0,0.17,159273,3
62,58.4,19782,15621,6651,14770,6445,12800,2500,2951,37,40,36,0.29,81520,3
63,59.4,407934,292614,75505,107303,10476,11860,3621,10352,35,54,0,0.29,919665,2
64,60.4,66989,16401,4361,3100,13318,7001,5129,5501,38,30,0,0.19,121800,3
65,60.4,50026,24710,12551,10518,12114,8119,6087,1493,0,0,0,0.32,125618,3
66,2.4,1857456,93983,58502,157802,271832,240262,13235,10348,0,0,0,0.15,2703420,3
67,3.4,4786,23293,2328,4109,1492,965,1268,689,0,0,0,0.24,38930,3
68,4.4,40889,110411,7701,4764,3716,7440,13224,3401,0,0,0,0.2,191546,3
69,5.4,14259,52754,10100,26866,22671,45323,10362,4911,50,50,0,0.23,187246,3
70,6.4,16371,14081,24361,9927,17723,18507,3771,4385,57,74,0,0.47,109126,2
71,7.4,10279,27693,24490,14888,11327,17959,12987,5674,63,96,0,0.44,125297,2
72,8.4,102159,23480,2852,14697,6989,9693,11709,8400,67,100,0,0.13,179979,2
73,9.4,482310,57395,5872,8545,16720,16743,13654,4716,63,100,0,0.1,605955,2
74,10.4,330278,34126,9669,32303,11451,9415,19985,5331,54,100,51,0.15,452558,2
75,11.4,319821,71811,25856,36735,3943,24308,5987,5119,51,100,42,0.23,493580,2
76,12.4,396423,35753,4378,6965,8718,18680,20056,3774,56,81,0,0.09,494747,2
77,13.4,64449,14685,11274,13477,6026,17105,8685,5907,60,100,0,0.28,141608,2
78,14.4,484886,141294,78092,13343,10494,11367,8388,6431,53,97,0,0.32,754295,2
79,15.4,46994,29552,20043,12522,17534,17881,8004,8601,56,94,0,0.35,161131,2
80,16.4,392585,86261,15112,15863,51334,14082,14603,4112,48,97,0,0.16,593952,2
81,17.4,3314,6823,13002,32579,11701,23221,16062,5433,48,100,0,0.34,112135,2
82,18.4,59064,82982,34418,111053,25465,29195,9210,4129,54,100,56,0.31,355516,2
83,19.4,2657894,184666,32649,53485,52513,29099,11009,3133,50,91,0,0.1,3024448,2
84,20.4,169155,23272,4677,4486,4659,2136,3538,1205,47,93,0,0.15,213128,2
85,21.4,42240,69452,28447,21046,24389,14812,9013,5617,37,81,0,0.36,215016,2
86,22.4,138350,41671,27394,30318,13527,8096,6586,4627,34,80,53,0.32,270569,2
87,23.4,152137,161536,37571,22359,33711,7185,9592,5595,26,80,0,0.3,429686,2
88,24.4,35077,40116,5767,13214,10738,9751,6930,3816,30,81,0,0.21,125409,2
89,25.4,37763,36039,2867,11709,11478,10780,10083,4291,35,74,0,0.15,125010,2
90,26.4,334811,10278,2478,9055,7292,3482,3616,1216,40,64,0,0.08,372228,2
91,27.4,6601,45010,11978,4349,32467,12721,13295,4998,53,57,0,0.3,131419,2
92,28.4,223196,154003,18526,36241,10930,17055,11908,4686,48,56,0,0.2,476545,2
93,29.4,42229,58111,19410,15301,6596,16177,17133,5946,47,64,0,0.33,180903,2
94,30.4,3020,23558,4284,4313,4485,16713,48022,3153,54,51,0,0.2,107548,2
95,31.4,460303,26824,4399,7085,6624,12069,12260,2355,56,56,0,0.09,531919,2
96,32.4,136400,25416,7455,3934,2357,2832,3378,1732,56,61,0,0.2,183504,2
97,33.4,26933,17365,9822,14574,6586,14623,11145,6020,61,64,0,0.3,107068,2
98,34.4,36041,47478,50136,30148,8265,13086,7267,4536,50,88,51,0.5,196957,2
99,35.4,827511,32656,8198,4689,11944,3208,2766,1158,40,88,0,0.1,892130,2
100,36.4,5952,23552,4991,10849,10528,13579,4145,5762,50,88,0,0.25,79358,2
101,37.4,4621,8059,10889,46368,15465,22772,4713,7029,50,96,52,0.3,119916,2
102,38.4,197863,35557,6072,2618,3767,2347,6738,1206,47,74,0,0.15,256168,2
103,39.4,24120,4862,13355,5757,12647,5446,8644,3468,54,90,0,0.41,78299,2
104,40.4,34573,27337,7334,22619,9098,9990,12167,2510,50,97,0,0.24,125628,2
105,41.4,7713,14899,3025,14258,4626,8580,9817,3167,48,90,0,0.21,66085,2
